Title,Product,Material,Materiall: uom,Quantity
recipe_Capuccino,Capuccino,Coffee bean,Gr,18
recipe_Capuccino,Capuccino,Coffee bean,Gr,18
recipe_Capuccino,Capuccino,Coffee bean,Gr,18
recipe_Capuccino,Capuccino,Coffee bean,Gr,18
recipe_Capuccino,Capuccino,Coffee bean,Gr,18
recipe_Capuccino,Capuccino,Coffee bean,Gr,18
recipe_Affogato,Affogato,Coffee bean,Gr,18
recipe_Affogato,Affogato,Ice Cream Vanilla,Gr,170
recipe_Aioli Sauce,Aioli Sauce,Mayonnaise,Gr,900
recipe_Aioli Sauce,Aioli Sauce,Oregano,Gr,2
recipe_Aioli Sauce,Aioli Sauce,GARLIC,Gr,50
recipe_Almond Biscuit,Almond Biscuit,Almond Ground,Gr,284
recipe_Almond Biscuit,Almond Biscuit,Ice Sugar,Gr,148
recipe_Almond Biscuit,Almond Biscuit,White Flour,Gr,284
recipe_Almond Biscuit,Almond Biscuit,Cooking Butter,Gr,284
recipe_Almond Cream,Almond Cream,Almond Ground,Gr,25
recipe_Almond Cream,Almond Cream,White Sugar,Gr,250
recipe_Almond Cream,Almond Cream,Mix Butter,Gr,250
recipe_American Bagel,American Bagel,Cheddar Cheese,Gr,15
recipe_American Bagel,American Bagel,Smoked Beef,Gr,25
recipe_American Bagel,American Bagel,Caramelized Onion,Gr,25
recipe_American Sandwich,American Sandwich,Minced Beef,Gr,150
recipe_American Sandwich,American Sandwich,Caramelized Onion,Gr,30
recipe_American Sandwich,American Sandwich,LETTUCE,Gr,30
recipe_American Sandwich,American Sandwich,TOMATO,Gr,30
recipe_American Sandwich,American Sandwich,Aioli Sauce,Gr,35
recipe_American Sandwich,American Sandwich,Cheddar Cheese,Gr,20
recipe_Americano,Americano,Coffee bean,Gr,18
recipe_Americano,Americano,Coffee bean,Gr,18
recipe_Asian Pickles,Asian Pickles,RADISH,Gr,500
recipe_Asian Pickles,Asian Pickles,CARROT,Gr,500
recipe_Asian Pickles,Asian Pickles,LIME,Gr,100
recipe_Asian Pickles,Asian Pickles,Salt,Gr,2
recipe_Asian Pickles,Asian Pickles,White Sugar,Gr,30
recipe_Bagels,Bagels,White Flour,Gr,78
recipe_Bagels,Bagels,Maizena Flour,Gr,23
recipe_Bagels,Bagels,Mix Butter,Gr,5
recipe_Bagels,Bagels,Salt,Gr,14
recipe_Bagels,Bagels,Yeast,Gr,11
recipe_Bagels,Bagels,White Sugar,Gr,54
recipe_Bagels,Bagels,White Sesame Seed,Gr,25
recipe_Bagels,Bagels,Black Sesame Seed,Gr,25
recipe_Baguette 280gr,Baguette 280gr,FLOUR AMOURETTE,Gr,20
recipe_Baguette 280gr,Baguette 280gr,White Flour,Gr,200
recipe_Baguette 280gr,Baguette 280gr,Yeast,Gr,2
recipe_Baguette Poolish 280gr,Baguette Poolish 280gr,Poolish Starter,Gr,203
recipe_Baguette Poolish 280gr,Baguette Poolish 280gr,Salt,Gr,4
recipe_Baguette Poolish 280gr,Baguette Poolish 280gr,Sourdough Starter Liquid,Gr,51
recipe_Baguette Poolish 280gr,Baguette Poolish 280gr,White Flour,Gr,86
recipe_Banh Mi Croissant,Banh Mi Croissant,LETTUCE,Gr,10
recipe_Banh Mi Croissant,Banh Mi Croissant,Chicken Banh Mi Marinated,Gr,40
recipe_Banh Mi Croissant,Banh Mi Croissant,CORIANDER,Gr,5
recipe_Banh Mi Croissant,Banh Mi Croissant,Asian Pickles,Gr,20
recipe_Banh Mi Croissant,Banh Mi Croissant,Aioli Sauce,Gr,30
recipe_Bechamel Sauce,Bechamel Sauce,Cooking Butter,Gr,83
recipe_Bechamel Sauce,Bechamel Sauce,Nutmeg,Gr,2
recipe_Bechamel Sauce,Bechamel Sauce,Pepper,Gr,2
recipe_Bechamel Sauce,Bechamel Sauce,Salt,Gr,2
recipe_Bechamel Sauce,Bechamel Sauce,White Flour,Gr,83
recipe_Beef Cheese Croissant,Beef Cheese Croissant,Smoked Beef,Gr,25
recipe_Beef Cheese Croissant,,,,30
recipe_Beef Cheese Croissant,Beef Cheese Croissant,Mozarella Cheese,Gr,30
recipe_Black Forest BIG 24cm,Black Forest BIG 24cm,Chocolat Sponge Cake,Gr,1.134
recipe_Black Forest BIG 24cm,Black Forest BIG 24cm,Chantilly,Gr,585
recipe_Black Forest BIG 24cm,Black Forest BIG 24cm,Strawberry Jam,Gr,135
recipe_Black Forest BIG 24cm,Black Forest BIG 24cm,Chocolate Dark Couverture,Gr,180
recipe_Black Forest Small 18cm,Black Forest Small 18cm,Chocolate Dark Couverture,Gr,80
recipe_Black Forest Small 18cm,Black Forest Small 18cm,Chocolat Sponge Cake,Gr,504
recipe_Black Forest Small 18cm,Black Forest Small 18cm,Chantilly,Gr,250
recipe_Black Forest Small 18cm,Black Forest Small 18cm,Strawberry Jam,Gr,50
recipe_Black Forest,Black Forest,Chocolat Sponge Cake,Gr,126
recipe_Black Forest,Black Forest,Chantilly,Gr,50
recipe_Black Forest,Black Forest,Strawberry Jam,Gr,15
recipe_Black Forest,Black Forest,Chocolate Dark Couverture,Gr,20
recipe_Breakery Cloud,Breakery Cloud,Chantilly,Gr,20
recipe_Breakery Cloud,Breakery Cloud,Choux Dough,Gr,25
recipe_Breakery Cloud,Breakery Cloud,Pearl Sugar,Gr,2
recipe_Breakery Sauce,Breakery Sauce,Garlic Powder,Gr,10
recipe_Breakery Sauce,Breakery Sauce,Onion Powder,Gr,10
recipe_Breakery Sauce,Breakery Sauce,Ice Sugar,Gr,5
recipe_Breakery Sauce,Breakery Sauce,Mayonnaise,Gr,750
recipe_Breakery Sauce,Breakery Sauce,Zucchini Pickles,Gr,195
recipe_Breakery Sauce,Breakery Sauce,Paprika Powder,Gr,5
recipe_Brown Bread,Brown Bread,White Flour,Gr,"33,333"
recipe_Brown Bread,Brown Bread,Brown Bread Flour,Gr,"3,333"
recipe_Brown Bread,Brown Bread,Salt,Gr,6
recipe_Brown Bread,Brown Bread,Yeast,Gr,467
recipe_Burger,Burger,Cheddar Cheese,Gr,15
recipe_Burger,Burger,LETTUCE,Gr,20
recipe_Burger,Burger,Minced Beef,Gr,150
recipe_Burger,Burger,TOMATO,Gr,20
recipe_Burger,Burger,Caramelized Onion,Gr,20
recipe_Burger,Burger,Smoked Beef,Gr,25
recipe_Burger Buns,Burger Buns,White Flour,Gr,572
recipe_Burger Buns,Burger Buns,Mix Butter,Gr,34
recipe_Burger Buns,Burger Buns,Salt,Gr,11
recipe_Burger Buns,Burger Buns,White Sugar,Gr,29
recipe_Burger Buns,Burger Buns,Yeast,Gr,9
recipe_Burger Buns,Burger Buns,White Sesame Seed,Gr,4
recipe_Capsicum Marinated,Capsicum Marinated,CAPSICUM,Gr,1.499
recipe_Capsicum Marinated,Capsicum Marinated,Oregano,Gr,1
recipe_Capsicum Marinated,Capsicum Marinated,Pepper,Gr,1
recipe_Capsicum Marinated,Capsicum Marinated,GARLIC,Gr,9
recipe_Capsicum Marinated,Capsicum Marinated,Salt,Gr,1
recipe_Capsicum Marinated,Capsicum Marinated,LEMON,Gr,58
recipe_Capuccino,Capuccino,Coffee bean,Gr,18
recipe_Capuccino,Capuccino,Coffee bean,Gr,18
recipe_Capuccino,Capuccino,Coffee bean,Gr,18
recipe_Capuccino,Capuccino,Coffee bean,Gr,18
recipe_Caramel Cream,Caramel Cream,White Sugar,Gr,400
recipe_Caramel Cream,Caramel Cream,Cooking Butter,Gr,200
recipe_Caramel Garnish,Caramel Garnish,White Sugar,Gr,1
recipe_Caramel Latte,Caramel Latte,Coffee bean,Gr,18
recipe_Caramel Latte,Caramel Latte,Coffee bean,Gr,18
recipe_Caramel Latte,Caramel Latte,Coffee bean,Gr,18
recipe_Caramel Latte,Caramel Latte,Coffee bean,Gr,18
recipe_Caramel Latte,Caramel Latte,Coffee bean,Gr,18
recipe_Caramel Latte,Caramel Latte,Coffee bean,Gr,18
recipe_Caramelized Onion,Caramelized Onion,ONION,Gr,1.754
recipe_Caramelized Onion,Caramelized Onion,Cooking Butter,Gr,47
recipe_Chantilly,Chantilly,Ice Sugar,Gr,320
recipe_Cheesy Brie,Cheesy Brie,Camembert,Gr,50
recipe_Cheesy Brie,Cheesy Brie,Cooking Butter,Gr,5
recipe_Cheesy Brie,Cheesy Brie,Red Onion Jam,Gr,30
recipe_Cheesy Brie,Cheesy Brie,LETTUCE,Gr,15
recipe_Chicken Baguette Sandwich,Chicken Baguette Sandwich,Roasted Chicken,Gr,80
recipe_Chicken Baguette Sandwich,Chicken Baguette Sandwich,LETTUCE,Gr,20
recipe_Chicken Baguette Sandwich,Chicken Baguette Sandwich,Capsicum Marinated,Gr,20
recipe_Chicken Baguette Sandwich,Chicken Baguette Sandwich,Mozarella Cheese,Gr,30
recipe_Chicken Baguette Sandwich,Chicken Baguette Sandwich,Aioli Sauce,Gr,35
